author_id	full_name	first_name	n_pubs	gender	discipline
20341356	goemans, n	nathalie	164	f	CLINICAL MEDICINE
23229804	decuypere, e	eddy	487	m	AGRICULTURE AND FOOD SCIENCE
23247120	rozenberg, s	serge	339	m	CLINICAL MEDICINE
23249851	van muylem, a	alain	106	m	CLINICAL MEDICINE
23253470	lambert, v	vincent	30	m	BASIC LIFE SCIENCES
23262728	brees, c	chantal	24	f	BASIC LIFE SCIENCES
24501951	mintiens, k	koen	47	m	CLINICAL MEDICINE
24747723	braeckman, bp	bart p.	82	m	BASIC LIFE SCIENCES
25467397	osselaer, jc	jean-claude	74	m	CLINICAL MEDICINE
25725133	de winter, amr	anne-marie remaut	6	f	AGRICULTURE AND FOOD SCIENCE
25981003	vander velde, c	c. vander	626	m	PHYSICS AND MATERIALS SCIENCE
26240020	reynders, p	peter	3	m	CLINICAL MEDICINE
27846458	goderis, b	bart	128	m	CHEMISTRY AND CHEMICAL ENGINEERING
28076956	verbesselt, r	rene	110	m	BIOMEDICAL SCIENCES
28582433	perpete, ea	eric a.	169	m	CHEMISTRY AND CHEMICAL ENGINEERING
28809689	caemaert, j	jacques	70	m	CLINICAL MEDICINE
30611332	siopis, c	christos	22	m	ASTRONOMY AND ASTROPHYSICS
30870210	waegeneers, n	nadia	28	f	ENVIRONMENTAL SCIENCES AND TECHNOLOGY
30876185	wagemans, j	johan	436	m	PSYCHOLOGY
30878698	croubels, s	siska	255	f	CLINICAL MEDICINE
31448253	masschelein, j	jan	19	m	EDUCATIONAL SCIENCES
31451695	peirs, j	jan	20	m	ELECTRICAL ENGINEERING AND TELECOMMUNICATION
31460128	poortmans, j	jef	291	m	PHYSICS AND MATERIALS SCIENCE
31465733	mareel, m	marc	331	m	BASIC LIFE SCIENCES
31689152	geenen, v	vincent	181	m	CLINICAL MEDICINE
31694704	nollevaux, mc	marie-cecile	29	f	CLINICAL MEDICINE
32440839	antrop, i	inge	18	f	PSYCHOLOGY
32443981	spieksma, fcr	frits c. r.	86	m	STATISTICAL SCIENCES
34212559	galleni, m	moreno	196	m	BASIC LIFE SCIENCES
